file,price_price,price_price_ls,price_weight,price_weight_ls,price_size,price_elems,price_elems_ls,price_time,price_time_ls,weight_price,weight_price_ls,weight_weight,weight_weight_ls,weight_size,weight_elems,weight_elems_ls,weight_time,weight_time_ls,side_linear_price,side_linear_price_ls,side_linear_weight,side_linear_weight_ls,side_linear_size,side_linear_elems,side_linear_elems_ls,side_linear_time,side_linear_time_ls,side_quad_price,side_quad_price_ls,side_quad_weight,side_quad_weight_ls,side_quad_size,side_quad_elems,side_quad_elems_ls,side_quad_time,side_quad_time_ls,combined_linear_price,combined_linear_price_ls,combined_linear_weight,combined_linear_weight_ls,combined_linear_size,combined_linear_elems,combined_linear_elems_ls,combined_linear_time,combined_linear_time_ls,combined_quad_price,combined_quad_price_ls,combined_quad_weight,combined_quad_weight_ls,combined_quad_size,combined_quad_elems,combined_quad_elems_ls,combined_quad_time,combined_quad_time_ls
weight_sm_17.dat,3155,3155,0.4459,0.4459,0.9831,59,181,330.643,5.745,2440,4446,0.2574,0.9127,0.9667,10,164,412.6,6.605,4353,4353,0.7006,0.7006,0.8666,20,289,1969.045,13.972,4329,4329,0.7374,0.7374,0.8398,16,303,2472.163,15.891,2832,4981,0.3382,0.9965,0.8934,12,195,754.603,9.209,3533,5018,0.517,0.9329,0.8712,17,253,1533.199,13.067
weight_sm_8.dat,3420,3420,0.5005,0.5005,0.9752,38,205,356.783,7.869,2913,5077,0.3599,1.0,0.982,10,201,335.365,8.295,4555,4555,0.7562,0.7562,0.8684,21,302,2160.222,14.384,4500,4500,0.7746,0.7746,0.8308,16,308,2562.916,15.519,3088,5008,0.3846,1.0,0.913,9,210,820.882,10.114,3716,5194,0.5632,1.0,0.9035,12,267,1699.659,13.861
weight_sm_9.dat,3418,3418,0.5136,0.5136,0.9807,40,205,353.084,7.575,2875,4826,0.3359,0.9441,0.9856,10,196,318.652,6.958,4603,4603,0.7805,0.7805,0.9083,21,314,2181.618,15.394,4526,4526,0.8016,0.8016,0.8477,17,323,2709.314,16.779,3202,5068,0.4185,1.0,0.8934,11,227,848.327,11.45,3874,5164,0.5873,1.0,0.881,14,284,1815.96,14.835
weight_sm_16.dat,3363,3363,0.4894,0.4894,0.9805,45,194,339.015,6.115,2745,4856,0.3111,0.997,0.9798,12,181,341.998,6.173,4565,4565,0.7669,0.7669,0.9092,26,302,2144.154,13.254,4435,4435,0.7725,0.7725,0.8159,23,307,2523.215,15.046,3510,5126,0.4565,0.9999,0.9429,15,240,960.491,10.777,3801,5094,0.5685,0.9995,0.8589,15,272,1820.272,13.673
weight_sm_14.dat,2693,2693,0.4321,0.4321,0.9705,47,161,330.207,5.675,2247,4671,0.3131,0.9999,0.9821,8,172,315.753,7.357,4084,4084,0.7297,0.7297,0.8784,16,282,1847.174,13.693,4109,4109,0.7672,0.7672,0.8764,14,298,2354.705,15.345,2579,4825,0.3655,1.0,0.9326,10,192,655.097,9.808,3039,4820,0.4716,1.0,0.8993,10,231,1281.094,12.259
weight_sm_28.dat,3197,3197,0.5187,0.5187,0.9617,36,208,414.932,9.796,2653,5184,0.2664,0.9999,0.9483,14,184,463.747,8.555,4239,4239,0.7287,0.7287,0.8554,19,295,1847.895,14.535,4284,4284,0.7671,0.7671,0.8509,19,306,2499.012,15.738,2939,5281,0.3606,1.0,0.9098,17,215,807.624,11.065,3284,5244,0.4565,1.0,0.9122,17,245,1382.816,13.146
weight_sm_29.dat,3403,3404,0.5468,0.5455,0.9541,34,219,485.35,9.961,2930,4752,0.3579,0.9997,0.9732,9,211,389.202,9.143,4473,4473,0.7823,0.7823,0.865,24,315,2110.942,15.83,4390,4390,0.8055,0.8055,0.7985,21,324,2810.532,17.529,3198,4859,0.4259,0.9999,0.9083,13,234,922.13,12.462,3795,5110,0.5509,0.9999,0.8789,17,276,1901.709,14.333
weight_sm_15.dat,3333,3333,0.488,0.488,0.9751,55,195,362.773,6.855,2857,4773,0.3085,0.9994,0.9712,10,194,391.602,7.904,4524,4524,0.7481,0.7481,0.8886,21,307,2021.078,14.956,4507,4507,0.7524,0.7524,0.8589,20,309,2581.689,15.167,3214,4891,0.3952,0.9996,0.9387,11,224,844.294,11.239,3648,5022,0.5032,0.9995,0.8909,11,258,1572.907,13.138
weight_sm_39.dat,3583,3583,0.543,0.543,0.9834,55,216,369.394,7.772,2567,4987,0.2852,1.0,0.9543,5,182,427.585,8.968,4525,4525,0.7533,0.7533,0.8525,16,310,2118.738,15.268,4535,4535,0.7903,0.7903,0.8471,15,324,2924.788,16.824,3339,4870,0.4664,1.0,0.9222,10,245,867.5,13.148,3673,4992,0.5455,0.9998,0.8903,12,270,1667.705,14.46
weight_sm_11.dat,3056,3056,0.4234,0.4234,0.9718,42,170,367.438,5.234,2817,4721,0.3213,0.9998,0.9696,15,181,372.134,6.709,4320,4320,0.7126,0.7126,0.8528,23,279,1906.966,12.178,4413,4413,0.7532,0.7532,0.8767,22,295,2479.091,13.869,3291,5106,0.4211,1.0,0.953,16,219,718.89,8.233,3504,5065,0.493,1.0,0.8962,17,241,1465.655,11.506
weight_sm_10.dat,2898,2898,0.4209,0.4209,0.9644,34,174,407.62,7.109,2582,4577,0.3331,0.9998,0.9642,7,187,401.407,9.829,4333,4333,0.6985,0.6985,0.8675,15,287,1970.604,13.919,4296,4296,0.743,0.743,0.8303,13,302,2482.231,15.416,2972,4755,0.3656,0.9588,0.9238,10,209,727.06,10.946,3385,4843,0.479,0.9466,0.8538,10,245,1441.307,12.839
weight_sm_38.dat,3626,3626,0.5918,0.5918,0.9818,47,223,392.713,8.762,2733,4651,0.3541,0.9873,0.9442,14,190,447.563,8.97,4607,4607,0.7644,0.7644,0.9246,31,303,2167.552,13.191,4525,4525,0.7985,0.7985,0.8531,27,314,2612.004,15.184,3414,5009,0.4527,0.9886,0.9383,21,233,816.879,10.559,3708,5051,0.5583,0.9703,0.859,20,264,1773.78,12.871
weight_sm_12.dat,3320,3320,0.4546,0.4546,0.9648,54,189,381.11,6.147,2807,4722,0.3245,0.9117,0.9772,9,191,376.111,7.271,4571,4571,0.7032,0.7032,0.8622,18,296,2097.364,12.303,4523,4523,0.7451,0.7451,0.8352,14,317,2584.535,15.551,3656,5142,0.4849,1.0,0.9266,11,253,997.847,11.895,3828,5213,0.5536,0.9996,0.9068,12,275,1669.595,13.137
weight_sm_13.dat,3091,3091,0.453,0.453,0.9663,37,185,370.04,7.477,3100,4877,0.3387,0.9655,0.9813,16,205,319.331,7.159,4726,4726,0.7621,0.7621,0.8514,18,314,2214.639,14.803,4756,4756,0.7929,0.7929,0.8543,16,325,2821.346,17.012,3486,5091,0.448,1.0,0.8763,17,242,887.772,12.067,3839,5301,0.5068,1.0,0.8752,15,270,1700.774,13.753
weight_sm_48.dat,3429,3429,0.4524,0.4524,0.9623,69,194,408.196,6.36,2895,4598,0.2961,0.864,0.9757,21,188,358.859,6.751,4545,4545,0.7309,0.7309,0.8563,27,301,2154.486,13.535,4557,4557,0.7763,0.7763,0.8599,25,319,2639.528,15.824,3493,5036,0.4263,0.9998,0.933,25,235,1049.502,10.801,3651,4971,0.5324,1.0,0.8647,24,262,1672.978,13.053
weight_sm_49.dat,3653,3653,0.5016,0.5016,0.9767,48,204,415.846,6.221,3113,5052,0.3067,1.0,0.9656,15,196,412.977,6.502,4876,4876,0.7709,0.7709,0.8865,31,306,2243.866,12.515,4796,4796,0.7914,0.7914,0.8403,23,317,2643.436,14.519,3697,5169,0.4938,0.9999,0.9199,16,249,823.179,11.368,4119,5431,0.5909,1.0,0.9024,18,286,1826.596,13.498
weight_sm_41.dat,3376,3376,0.5004,0.5004,0.9729,31,196,365.617,6.64,3102,5263,0.3521,0.9999,0.973,11,205,404.492,6.925,4511,4511,0.7691,0.7691,0.8591,16,302,2023.408,13.817,4530,4530,0.7881,0.7881,0.8455,14,309,2828.967,14.848,3285,5324,0.4286,0.9998,0.9014,9,225,966.075,9.379,3745,5332,0.5399,1.0,0.8347,10,266,1776.901,12.565
weight_sm_40.dat,3658,3658,0.4582,0.4582,0.9801,39,199,390.883,5.231,3095,5066,0.3585,0.9998,0.952,15,211,449.016,9.532,4883,4883,0.7508,0.7508,0.876,24,318,2252.768,13.992,4860,4860,0.7875,0.7875,0.8391,21,333,2841.57,15.974,3963,5689,0.4616,1.0,0.9477,15,266,1003.661,10.901,4234,5564,0.5616,0.9991,0.884,17,293,1899.008,13.515
weight_sm_42.dat,3447,3447,0.5371,0.5371,0.9591,50,212,436.184,8.624,2840,5282,0.32,1.0,0.9627,7,196,427.505,8.197,4657,4657,0.7496,0.7496,0.8904,19,301,2271.614,12.727,4566,4566,0.7468,0.7468,0.8298,18,309,2594.954,14.352,3317,5384,0.4474,1.0,0.9508,7,242,844.662,10.697,3776,5242,0.526,0.9999,0.8799,12,267,1660.03,12.925
weight_sm_43.dat,3182,3182,0.484,0.484,0.9802,39,201,347.972,8.629,2661,4408,0.3212,0.9426,0.9712,9,191,404.428,9.42,4319,4319,0.7069,0.7069,0.8634,20,291,1966.391,13.823,4269,4269,0.7458,0.7458,0.832,19,304,2456.699,16.451,3155,4589,0.3656,0.8953,0.959,10,218,666.979,8.191,3471,5293,0.4871,1.0,0.8994,12,254,1480.707,12.77
weight_sm_47.dat,3023,3023,0.4572,0.4572,0.9736,32,174,337.161,5.054,2568,4412,0.3189,0.9671,0.973,12,185,389.023,7.863,4362,4362,0.7773,0.7773,0.901,17,310,2271.612,14.377,4252,4252,0.7686,0.7686,0.8274,15,315,2757.771,16.139,3305,4896,0.483,0.9998,0.9253,13,251,907.283,14.49,3382,4750,0.514,0.9998,0.9072,13,261,1578.893,13.791
weight_sm_46.dat,3222,3222,0.493,0.493,0.9679,35,195,360.146,7.853,2806,4614,0.3073,0.9514,0.9685,8,190,390.423,7.98,4733,4733,0.7746,0.7746,0.9104,16,317,2258.726,14.306,4603,4603,0.7859,0.7859,0.8303,13,321,2793.189,15.957,3441,4995,0.4236,0.9471,0.9639,10,234,603.887,8.149,3529,4949,0.4697,0.9667,0.8362,9,249,1497.336,12.21
weight_sm_44.dat,3395,3395,0.5426,0.5426,0.9609,55,209,450.822,8.659,2998,4985,0.356,0.9967,0.9828,24,213,355.027,8.267,4560,4560,0.762,0.762,0.8704,22,307,2227.916,14.088,4587,4587,0.8091,0.8091,0.872,21,326,2908.9,15.968,3312,5033,0.4197,0.9997,0.9377,11,236,937.405,12.079,3739,5025,0.5427,0.9998,0.8858,14,274,1830.674,14.558
weight_sm_45.dat,3140,3140,0.447,0.447,0.9719,46,175,327.397,4.799,2957,5055,0.3735,1.0,0.9731,18,209,453.152,9.088,4470,4470,0.7351,0.7351,0.8874,26,296,2129.644,12.982,4423,4423,0.7652,0.7652,0.8467,21,305,2566.916,14.727,3197,4841,0.4114,0.9997,0.8977,20,223,847.244,10.296,3496,4685,0.4983,0.9271,0.8149,20,250,1496.815,12.469
weight_sm_36.dat,3019,3019,0.4023,0.4023,0.9836,39,174,270.054,5.024,2901,4748,0.3391,0.9676,0.9681,7,204,456.514,9.783,4509,4509,0.717,0.717,0.8792,20,298,2119.697,13.768,4446,4446,0.7397,0.7397,0.8322,17,310,2647.788,15.504,3418,5024,0.4192,0.9793,0.9124,10,237,858.26,11.1,3553,4942,0.4776,0.9367,0.8606,10,254,1630.922,13.088
weight_sm_22.dat,3149,3149,0.4777,0.4777,0.954,44,191,404.191,8.244,2815,4379,0.3599,0.9645,0.976,8,193,389.776,8.67,4356,4356,0.7229,0.7229,0.851,24,284,1958.913,13.482,4351,4351,0.767,0.767,0.8267,22,298,2499.121,14.942,2971,4662,0.3796,0.9385,0.9276,9,206,756.888,10.663,3272,4956,0.4444,0.9998,0.8815,12,226,1370.813,10.609
weight_sm_1.dat,3240,3240,0.4878,0.4878,0.9802,42,198,399.991,11.495,2751,4324,0.3522,0.9266,0.9756,17,190,373.192,8.3,4413,4413,0.7207,0.7207,0.8707,20,291,2039.115,13.56,4355,4355,0.7438,0.7438,0.8274,16,302,2560.964,15.586,3070,4757,0.378,0.9723,0.9483,16,208,735.495,9.217,3669,4771,0.52,0.9419,0.8828,19,254,1699.822,12.859
weight_sm_0.dat,3258,3261,0.4823,0.484,0.97,31,195,386.942,7.343,2788,5139,0.3235,0.9997,0.972,8,200,423.348,7.754,4440,4440,0.7658,0.7658,0.8707,15,311,2114.513,15.508,4469,4469,0.8027,0.8027,0.8699,14,323,2728.659,16.805,3325,5102,0.4574,1.0,0.9328,10,244,815.624,11.618,3499,5565,0.5405,0.9998,0.9117,10,270,1625.059,14.008
weight_sm_23.dat,3250,3250,0.4679,0.4679,0.9607,41,191,408.313,7.574,2735,4582,0.2866,0.8368,0.9856,17,178,276.891,5.697,4685,4685,0.7731,0.7731,0.881,22,306,2179.733,13.808,4633,4633,0.7892,0.7892,0.8397,21,314,2504.755,15.481,3357,5349,0.4258,0.9997,0.9355,19,225,831.987,10.452,3688,5543,0.5281,0.9999,0.8624,18,258,1650.698,12.598
weight_sm_37.dat,3766,3766,0.5995,0.5995,0.9684,31,233,489.733,9.369,3040,4783,0.4042,0.9856,0.9822,12,210,357.818,8.335,4522,4522,0.7823,0.7823,0.8824,16,306,2029.204,14.476,4507,4507,0.8143,0.8143,0.8602,15,317,2682.307,16.002,3265,4930,0.4849,1.0,0.916,11,237,890.303,12.272,3601,4939,0.5424,0.9853,0.8632,13,257,1639.549,13.08
weight_sm_21.dat,3292,3292,0.4781,0.4781,0.9829,60,195,320.655,6.485,2907,4601,0.3557,0.8388,0.9883,15,195,277.763,6.546,4590,4590,0.7419,0.7419,0.8649,21,300,2049.553,13.651,4557,4557,0.7931,0.7931,0.8455,20,318,2666.215,15.751,3502,4974,0.492,1.0,0.9164,17,246,854.202,12.239,3782,5190,0.5292,1.0,0.8479,18,267,1726.754,13.666
weight_sm_35.dat,3254,3254,0.4871,0.4871,0.9888,34,198,303.062,7.46,3043,4808,0.3632,0.9996,0.9644,10,208,419.185,9.318,4752,4752,0.7779,0.7779,0.9051,18,324,2225.715,15.91,4711,4711,0.7978,0.7978,0.8756,17,329,2699.82,16.989,3594,5122,0.4818,0.9998,0.9523,13,252,877.022,11.875,3765,5176,0.5747,1.0,0.8851,14,279,1802.846,14.91
weight_sm_2.dat,3239,3239,0.506,0.506,0.9483,58,199,448.905,8.082,2575,4095,0.2899,0.8711,0.9478,14,174,433.603,8.233,4228,4228,0.7434,0.7434,0.8353,24,291,1862.97,13.953,4261,4261,0.775,0.775,0.837,22,304,2380.471,15.433,2929,4598,0.3792,0.9075,0.9229,15,212,770.899,11.055,3357,4929,0.4574,0.9901,0.8871,16,240,1516.333,11.777
weight_sm_3.dat,2639,2639,0.348,0.348,0.9706,36,148,316.78,4.704,2502,4700,0.264,0.9754,0.9749,15,168,358.747,6.863,4331,4331,0.6849,0.6849,0.8825,19,285,1951.67,13.249,4258,4258,0.707,0.707,0.8525,19,295,2480.695,14.681,3197,5031,0.376,1.0,0.9394,16,217,743.704,9.826,3400,4975,0.4457,0.9861,0.8384,16,237,1453.146,11.524
weight_sm_34.dat,3086,3086,0.4744,0.4744,0.9802,32,188,322.319,6.949,2808,5151,0.3388,1.0,0.9485,5,196,463.093,8.926,4410,4410,0.7589,0.7589,0.8727,17,302,2163.319,13.985,4438,4438,0.7973,0.7973,0.8791,14,324,2875.173,16.814,3307,5002,0.4452,0.9996,0.939,6,236,982.068,11.314,3739,5110,0.5658,0.9996,0.8807,8,274,1753.009,13.364
weight_sm_20.dat,2810,2810,0.3936,0.3936,0.9803,32,164,272.269,5.378,2581,4120,0.2887,0.8217,0.9843,13,180,273.253,7.115,4563,4567,0.8088,0.8157,0.8758,14,310,2159.806,15.019,4540,4540,0.8368,0.8368,0.864,13,323,2794.309,17.712,3090,4929,0.4353,1.0,0.9252,11,224,753.724,11.587,3720,4966,0.548,0.9999,0.8837,13,261,1680.735,13.236
weight_sm_18.dat,2911,2911,0.4339,0.4339,0.9839,38,172,293.162,6.106,2634,4533,0.2947,0.9137,0.9764,14,181,393.901,8.116,4303,4303,0.6806,0.6806,0.8277,21,275,1893.489,12.386,4329,4329,0.7481,0.7481,0.8234,17,300,2295.214,15.182,3121,4894,0.3507,0.9358,0.9091,14,210,768.096,10.047,3584,5012,0.4786,0.9942,0.8946,15,245,1489.326,12.061
weight_sm_24.dat,3197,3197,0.4901,0.4901,0.9715,48,192,412.754,7.688,2715,4499,0.3114,0.9376,0.9511,9,183,421.22,9.095,4511,4511,0.7505,0.7505,0.8783,17,292,2107.664,12.938,4411,4411,0.7709,0.7709,0.8029,14,298,2504.929,14.263,3216,5076,0.4025,0.9999,0.8889,13,216,828.617,9.417,3816,5197,0.54,0.9996,0.8713,11,259,1615.478,11.887
weight_sm_30.dat,3216,3216,0.455,0.455,0.9745,35,183,364.747,6.2,2316,4690,0.2374,0.9679,0.9654,12,158,381.216,9.328,4522,4522,0.7063,0.7063,0.8789,18,299,2149.326,15.401,4504,4504,0.728,0.728,0.8519,17,316,2584.815,16.085,3082,4940,0.3687,0.9298,0.9628,14,216,650.554,7.977,3672,5272,0.5003,1.0,0.861,15,260,1694.576,15.505
weight_sm_7.dat,3436,3436,0.5331,0.5331,0.9685,39,209,449.465,9.016,2728,4845,0.3304,0.9989,0.9664,13,179,378.905,7.774,4549,4549,0.7367,0.7367,0.8822,20,289,1957.297,12.461,4527,4527,0.7909,0.7909,0.8539,17,311,2576.838,15.603,3159,5173,0.4251,0.9999,0.9429,16,219,766.91,10.662,3682,5440,0.5166,0.9994,0.9255,18,260,1531.633,12.798
weight_sm_6.dat,3538,3538,0.5457,0.5457,0.9805,38,220,371.332,8.918,2751,4364,0.3872,0.9997,0.9543,10,204,402.149,11.231,4461,4461,0.7849,0.7849,0.8996,21,318,2193.875,16.193,4413,4413,0.7979,0.7979,0.8497,16,323,2845.335,16.911,3267,4725,0.4706,0.9984,0.9192,11,244,873.294,13.229,3542,4839,0.5287,0.9967,0.828,12,265,1688.938,14.623
weight_sm_31.dat,3610,3610,0.5492,0.5492,0.9761,34,222,414.473,9.006,2808,4377,0.2949,0.8351,0.9801,14,189,312.914,6.293,4640,4640,0.7413,0.7413,0.8721,20,309,2288.607,14.767,4661,4661,0.7739,0.7739,0.8619,17,325,2846.243,15.943,3285,5057,0.4021,1.0,0.9369,15,229,855.626,11.151,3868,5355,0.5395,0.9998,0.8906,13,277,1744.659,13.289
weight_sm_25.dat,3272,3272,0.4435,0.4435,0.9833,34,178,308.296,5.071,2510,4339,0.3175,0.9097,0.9859,10,170,288.21,7.193,4631,4631,0.778,0.778,0.8791,15,303,2162.276,14.157,4670,4670,0.7983,0.7983,0.8762,14,318,2806.312,15.123,2917,4949,0.3955,1.0,0.9166,10,209,725.431,10.511,3667,5017,0.5422,1.0,0.8918,11,264,1639.241,13.427
weight_sm_19.dat,3451,3451,0.548,0.548,0.9808,43,209,370.578,8.401,3068,5041,0.4071,0.9997,0.9728,15,212,404.145,9.901,4598,4598,0.789,0.789,0.8708,25,309,2080.77,15.235,4623,4623,0.8219,0.8219,0.8674,23,322,2767.52,16.907,3463,4872,0.4924,0.9995,0.9195,18,244,928.038,12.75,3708,4859,0.557,0.9988,0.8917,18,267,1626.308,15.231
weight_sm_33.dat,3249,3249,0.494,0.494,0.9824,38,205,374.64,9.131,3053,5010,0.3511,1.0,0.9409,13,212,529.439,10.03,4537,4537,0.7702,0.7702,0.8547,21,311,2231.686,15.026,4515,4515,0.8005,0.8005,0.8324,17,323,2692.105,16.702,3389,4879,0.4729,1.0,0.9512,12,249,853.26,11.805,3653,4914,0.5314,1.0,0.8988,12,269,1807.996,14.195
weight_sm_27.dat,3257,3257,0.5062,0.5062,0.9641,39,201,480.708,9.123,3318,5174,0.4703,1.0,0.9741,18,238,449.435,11.687,4726,4726,0.8175,0.8175,0.8794,20,317,2329.705,15.413,4598,4598,0.8286,0.8286,0.8106,16,327,2744.587,17.354,3316,5281,0.4317,0.9999,0.9236,18,232,854.785,11.252,3890,5340,0.5754,1.0,0.8866,17,280,1902.844,14.436
weight_sm_4.dat,3002,3002,0.4784,0.4784,0.977,51,174,315.056,5.282,2587,4552,0.3007,0.9372,0.9782,8,181,334.729,6.463,4401,4401,0.744,0.744,0.8968,19,298,2109.137,13.212,4302,4302,0.7762,0.7762,0.8137,13,313,2501.491,15.892,3197,5025,0.4167,1.0,0.9452,9,224,877.431,9.519,3613,5173,0.5403,1.0,0.8838,9,269,1713.154,13.21
weight_sm_5.dat,3208,3208,0.5135,0.5135,0.9716,38,197,398.292,8.101,2559,4446,0.3943,1.0,0.9787,5,193,384.33,10.134,4470,4470,0.8089,0.8089,0.8791,16,312,2269.545,15.474,4485,4485,0.848,0.848,0.8707,15,326,3302.656,18.006,3091,4879,0.4589,1.0,0.9286,6,228,938.682,11.504,3668,4906,0.6025,0.9999,0.9237,11,277,1816.052,14.736
weight_sm_26.dat,3409,3409,0.5024,0.5024,0.9771,36,206,402.648,7.537,2978,5064,0.3574,1.0,0.9676,12,211,407.724,9.758,4501,4501,0.7521,0.7521,0.8759,18,301,2137.475,14.199,4446,4446,0.7898,0.7898,0.84,14,319,2709.958,16.696,3250,5112,0.4079,1.0,0.9246,15,234,867.156,11.775,3719,5172,0.5471,0.9999,0.8765,14,273,1770.501,14.088
weight_sm_32.dat,3550,3550,0.5264,0.5264,0.9784,40,215,425.658,8.489,2702,4914,0.356,0.9699,0.9793,13,195,388.459,8.731,4398,4398,0.7301,0.7301,0.8619,24,294,2052.673,14.27,4368,4368,0.7564,0.7564,0.8279,22,309,2528.858,15.831,3097,4997,0.419,0.9999,0.9503,13,224,661.195,10.755,3453,4903,0.5196,0.9996,0.9107,14,255,1452.553,14.092
