file,weight,weight_t,weight_ls,weight_ls_t,size_linear,size_linear_t,size_linear_ls,size_linear_ls_t,size_quad,size_quad_t,size_quad_ls,size_quad_ls_t,combined_linear,combined_linear_t,combined_linear_ls,combined_linear_ls_t,combined_quad,combined_quad_t,combined_quad_ls,combined_quad_ls_t
0,986,99260000,1250,6932000,732,95479000,940,8525000,670,232841000,901,18915000,682,48006000,900,3767000,527,95940000,816,8113000
1,995,81028000,1175,4866000,829,90489000,923,10306000,825,147070000,921,13504000,714,85606000,929,6439000,755,121998000,847,12466000
2,942,110510000,1114,6693000,961,77174000,986,10350000,892,111574000,916,10230000,1023,115981000,1231,10744000,787,140702000,1047,14361000
3,838,75476000,1102,5368000,727,48157000,727,6320000,727,69587000,727,6498000,691,78710000,823,6943000,806,74343000,857,9037000
4,994,82403000,1108,4798000,649,89211000,737,9846000,617,145084000,719,12820000,728,111657000,853,8923000,618,147794000,896,14363000
5,907,83537000,1120,4858000,806,75682000,864,9064000,825,122792000,883,11664000,738,89136000,892,7148000,736,123243000,927,12034000
6,1125,77510000,1351,4700000,518,97529000,630,10681000,541,152913000,654,12963000,874,63444000,1085,5294000,818,131309000,953,13321000
7,787,73764000,964,4957000,690,58134000,716,7273000,697,87043000,722,8337000,552,64896000,741,5313000,675,109553000,686,12702000
8,1105,102862000,1250,6337000,894,55637000,898,7477000,894,81157000,894,7919000,721,99380000,956,8070000,839,157401000,1070,16145000
9,1245,141877000,1405,9525000,834,81174000,864,10002000,795,116413000,832,10538000,819,79048000,1009,6569000,726,81629000,756,8487000
10,897,69976000,1001,3657000,592,82812000,718,7629000,541,182272000,672,15342000,768,81499000,934,6842000,655,105350000,892,9791000
11,1065,86997000,1231,5785000,790,112152000,865,13260000,804,152399000,875,13791000,1012,105989000,1053,10175000,728,129335000,893,12947000
12,964,118014000,1271,7098000,711,37638000,711,5082000,711,53683000,711,5206000,802,68199000,899,6397000,805,78173000,961,8239000
13,834,77647000,1041,4572000,666,53046000,672,6788000,666,79858000,672,7584000,686,92813000,827,8318000,767,87262000,781,10461000
14,1382,151542000,1616,11093000,899,86899000,1082,7695000,891,216622000,1095,18434000,918,85892000,1145,7705000,809,149792000,1062,14982000
15,781,78362000,945,4537000,775,88455000,935,8306000,803,174280000,954,14467000,641,79934000,829,6387000,541,160157000,759,15066000
16,1210,164977000,1507,10059000,669,78567000,985,6144000,717,188663000,1064,13255000,1011,103737000,1207,9387000,714,161283000,921,15985000
17,889,82047000,1161,5214000,696,84434000,794,8768000,640,145051000,740,12744000,822,97535000,1015,7976000,840,163660000,1072,16652000
18,797,71845000,984,3826000,545,79634000,688,7845000,532,165238000,677,13446000,585,79915000,794,5974000,625,110865000,843,10804000
19,914,112348000,1095,6813000,500,82286000,737,6187000,556,217595000,827,16551000,632,80622000,830,7451000,624,120931000,926,10776000
20,1073,83113000,1264,4545000,710,57896000,957,5265000,702,134309000,968,9296000,775,81172000,1015,6630000,701,126012000,1027,11709000
21,1162,113978000,1464,9135000,809,43394000,809,5929000,809,64973000,809,6298000,837,53354000,1042,5070000,850,76758000,939,9195000
22,977,74368000,1093,4116000,810,101469000,904,11497000,776,158293000,871,14127000,876,91605000,1015,8095000,610,149098000,843,13966000
23,1089,107919000,1350,6698000,816,75709000,863,9215000,827,122248000,874,11308000,720,80435000,936,6537000,623,125924000,891,12232000
24,1258,102154000,1414,6086000,671,80809000,816,6496000,650,189386000,802,15774000,981,81076000,1193,6744000,702,113868000,1008,10217000
25,1026,113062000,1285,6773000,371,91362000,511,8187000,411,172489000,550,14214000,661,99688000,731,8649000,529,131218000,613,14158000
26,837,53413000,987,3231000,630,79374000,703,9415000,545,124038000,634,10967000,583,54925000,697,4505000,769,113042000,801,13143000
27,1245,135683000,1501,8962000,558,60935000,766,5078000,552,163476000,782,12239000,677,83547000,910,6372000,594,130414000,880,11974000
28,954,122438000,1218,7279000,521,97900000,721,8272000,511,224117000,742,17709000,514,67844000,763,4860000,572,103762000,820,9995000
29,1006,116551000,1148,7854000,839,81281000,879,10122000,806,117190000,847,11101000,532,53352000,712,3896000,573,142688000,850,13594000
30,1016,79199000,1140,5364000,814,50331000,822,6441000,844,73338000,849,7195000,719,76766000,951,6286000,838,53657000,822,6937000
31,968,101229000,1161,6030000,735,40758000,735,5463000,735,58191000,735,5739000,605,99754000,804,8056000,472,125363000,720,11927000
32,1089,113354000,1276,6987000,639,90746000,677,10662000,519,130122000,573,11385000,658,102554000,792,8198000,494,120027000,621,11435000
33,1287,141372000,1462,8957000,1002,82704000,1062,9956000,922,130274000,987,11960000,1117,86027000,1051,9740000,904,96068000,964,11034000
34,965,106890000,1159,5983000,837,71421000,849,8942000,811,104063000,830,9803000,653,79361000,915,6496000,725,113269000,1028,10574000
35,1082,110032000,1321,6794000,601,84097000,721,8634000,606,158940000,727,13554000,784,87491000,990,7120000,666,136000000,929,12845000
36,1116,126320000,1408,8112000,522,81096000,724,6945000,475,180619000,725,12198000,699,72600000,947,5803000,649,156649000,851,15716000
37,908,95211000,1153,7293000,838,72428000,870,8854000,824,100218000,860,9303000,840,81232000,1044,6614000,723,142962000,951,14381000
38,843,94513000,1068,5615000,839,86800000,869,10907000,798,130446000,831,11979000,749,93970000,961,7841000,658,148413000,919,13783000
39,957,128949000,1113,9883000,546,50273000,574,5844000,546,70380000,574,6433000,556,102556000,795,7770000,560,125076000,708,12944000
40,1005,92429000,1308,5788000,939,65610000,992,7891000,895,102254000,948,9577000,971,87451000,1111,8501000,1052,126492000,1186,14040000
41,757,63042000,923,4628000,721,81672000,869,7099000,715,214888000,892,17542000,757,79650000,991,6327000,731,139274000,914,14058000
42,895,87522000,1048,5495000,839,59927000,866,7846000,812,83642000,839,8045000,797,100481000,949,8888000,661,123733000,875,12153000
43,949,93044000,1143,6572000,856,62476000,882,7593000,863,87665000,889,8610000,633,77857000,836,6152000,545,132294000,779,13132000
44,1079,108340000,1317,6209000,906,139417000,1050,14436000,875,244384000,1044,21399000,817,88011000,1001,7788000,585,106905000,818,9702000
45,950,79563000,1128,4040000,607,91467000,844,7882000,582,230320000,863,18270000,700,64084000,915,5309000,748,96851000,925,9560000
46,767,86166000,1027,5448000,895,77992000,907,9655000,896,115374000,908,10815000,637,73540000,880,5638000,808,104590000,912,11705000
47,930,112893000,1160,7260000,785,86802000,1004,7459000,707,204876000,954,15302000,748,77564000,950,6366000,454,76921000,632,5603000
48,933,84796000,1186,5741000,749,79703000,933,7686000,712,179513000,913,14569000,661,67378000,948,5345000,805,114524000,1051,11231000
49,916,63506000,1008,3735000,597,85748000,757,7626000,624,191482000,789,15713000,890,74244000,1043,6418000,918,163599000,1108,16205000
